CONVERGENCE ITERATIONS

||===============================================================================================================================================================================================||
|| LOAD TIME            || REL. FORCE RESIDUAL    || ABS. FORCE RESIDUAL    || REL. VARIABLE RESIDUAL || ABS. VARIABLE RESIDUAL || ABS. MAX DOF           || LINE SEARCH || RATIO                ||
|| 2.0000000000000e-01  || 1.6566547104341e-02    || 1.2814640303638e+06    || 2.2599687449550e-02    || 8.6527833538969e-01    || 4.4062370695399e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5356038061771e-02    || 1.1878281153652e+06    || 2.2534275679327e-02    || 8.6249376863005e-01    || 4.3795680006850e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.6362754432260e-02    || 1.2657001552920e+06    || 2.2470054339349e-02    || 8.6027852986809e-01    || 4.3799359196247e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5165442884905e-02    || 1.1730850996977e+06    || 2.2413695260770e-02    || 8.5785453134182e-01    || 4.3570475766621e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.6186720732420e-02    || 1.2520835064481e+06    || 2.2357171136253e-02    || 8.5592639662460e-01    || 4.3570599551112e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5001705755637e-02    || 1.1604196214740e+06    || 2.2308841380227e-02    || 8.5382149048050e-01    || 4.3374141625770e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.6034858820365e-02    || 1.2403366061039e+06    || 2.2259111641165e-02    || 8.5214694110150e-01    || 4.3372076670560e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4861060808647e-02    || 1.1495403815524e+06    || 2.2217845806263e-02    || 8.5032228217471e-01    || 4.3203403381109e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5903947143583e-02    || 1.2302102590810e+06    || 2.2174075853860e-02    || 8.4887027700790e-01    || 4.3200064796459e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4740239010027e-02    || 1.1401945119491e+06    || 2.2138990999727e-02    || 8.4729050780818e-01    || 4.3055194379553e-01    || 1.0000000   || 2.0000000000000e-01  ||
